"subject";"id";"subject";"thread";"from_unixtime(jos_kunena_messages.time,'%Y-%m-%dT%T')";"message"
"2015届Burnaby小组共修（第二册）";"236";"温哥华小组共修";"30";"2016-05-10T12:56:38";"5月24日共修 星期二晚上7点，YY房间号码是 64043086第二册第十课 《二谛-开启中观门扉之钥匙》共两次课https://drive.google.com/folderview?id=0B0LPKwI4InkdUU5zcVU0dkw2WTQ&usp=sharing或https://onedrive.live.com/redir?resid=54D8A53F42DE061C!416&authkey=!AJwk2neGmyZCMTI&ithint=folder%2cmp3本次共修学习第3个录音。由圆虚Maggie师兄主持串讲。"
"2015届Burnaby小组共修（第二册）";"237";"温哥华小组共修";"30";"2016-05-10T12:58:16";"5月31日共修 星期二晚上7点，YY房间号码是 64043086第二册第十一课 《十二缘起支-生命轮回的次序》共两次课https://drive.google.com/folderview?id=0B0LPKwI4InkdcVhvazh4TjdfYUk&usp=sharinghttps://onedrive.live.com/redir?resid=54D8A53F42DE061C!423&authkey=!APdlhXcQIyQMk5Q&ithint=folder%2cdb本次共修学习第1，2个录音。由圆慧Ava师兄主持串讲。"
"2015届Burnaby小组共修（第二册）";"238";"温哥华小组共修";"30";"2016-05-10T12:58:56";"6月7日共修 因慈师莅临温哥华弘法暂停一次。"
"2015届Burnaby小组共修（第二册）";"255";"温哥华小组共修";"30";"2016-05-29T23:59:52";"6月14日共修 继续暂停一次。"
"2015届Burnaby小组共修（第二册）";"264";"温哥华小组共修";"30";"2016-06-20T00:15:42";"6月21日共修 星期三晚上7点，YY房间号码是 64043086第二册第十一课 《十二缘起支-生命轮回的次序》共两次课https://drive.google.com/folderview?id=0B0LPKwI4InkdcVhvazh4TjdfYUk&usp=sharinghttps://onedrive.live.com/redir?resid=54D8A53F42DE061C!423&authkey=!APdlhXcQIyQMk5Q&ithint=folder%2cdb本次共修学习第3个录音。由Ava师兄继续主持串讲。"
"2015届Burnaby小组共修（第二册）";"267";"温哥华小组共修";"30";"2016-06-27T02:03:14";"6月28日共修 星期三晚上7点，YY房间号码是 64043086第二册第十二课 《梦幻世界》共一次课https://drive.google.com/folderview?id=0B0LPKwI4InkdLUZkTC1lZUU0R3c&usp=sharinghttps://1drv.ms/f/s!AhwG3kI_pdhUgytVsV_WlaRpo92F串讲： Wendy 师兄"
"2016届Burnaby小组共修（第一册）";"268";"2016届Burnaby小组共修（第一册）";"101";"2016-06-27T02:22:23";"温哥华慧灯禅修2016届Burnaby小组共修共修时间：温哥华时间每周三晚 7:00 - 10:00共修地点：close to 10th ave and 6th st, Burnaby, BC https://www.google.ca/maps/place/Burnaby,+BC/@49.2189534,-123.0676911,11z/data=!4m5!3m4!1s0x548677dcdd551865:0x294571569fab1f06!8m2!3d49.2189534!4d-122.9276154周三晚7点不能到现场共修的师兄们可以安装一个Zoom软件，Zoom的会议室号码是   [size=6][b]7789995278[/b][/size]电脑版： https://zoom.us/download#client_4meetingAndroid版： ZOOM Cloud Meetingshttps://play.google.com/store/apps/details?id=us.zoom.videomeetingsiOS版：ZOOM Cloud Meetingshttps://itunes.apple.com/ca/app/zoom-cloud-meetings/id546505307?mt=8第一册学习资料：https://drive.google.com/folderview?id=0B0LPKwI4InkddWg0cHRpVmRMRUE&usp=sharinghttps://1drv.ms/f/s!AhwG3kI_pdhUg03rKO-nzN4b7PiG如果国内不能访问Google Drive,请用Baidu云盘访问链接: http://pan.baidu.com/s/1c1W3XAC 密码: cgfuYoutube视频频道: https://www.youtube.com/channel/UCp-m_8n7201qjJv4p9fScHg"
"温哥华慧灯禅修报名";"270";"温哥华慧灯禅修报名";"102";"2016-06-29T12:42:51";"报名参加温哥华慧灯禅修小组的师兄请填写报名表（见附件）然后发送到报名邮箱：huidengvan@gmail.com报名咨询电话：778-895-7768 圆妙 778-999-5278 慧航愿六时吉祥！慧灯禅修温哥华慧务组"
"2016届Burnaby小组共修（第一册）";"272";"温哥华慧灯禅修2016届Burnaby小组共修";"101";"2016-07-04T01:29:18";"6月29日第一次共修学习内容： 三个差别 第一次课 共两次串讲： 圆定James师兄"
"2016届Burnaby小组共修（第一册）";"273";"温哥华慧灯禅修2016届Burnaby小组7月6日第二次共修";"101";"2016-07-04T01:30:15";"7月6日第二次共修学习内容： 三个差别 第二次课 共两次串讲师兄： 圆航（慧航）"
"2015届Burnaby小组共修（第二册）";"274";"2015温哥华Burnaby小组7月5日共修";"30";"2016-07-04T01:34:52";"7月5日共修 星期三晚上7点，YY房间号码是 64043086第二册第三阶段复习 - 如何将病苦转为道用 - 四谛-脱离生死的出路 - 二谛-开启中观门扉之钥匙 - 十二缘起支-生命轮回的次序串讲： Susan 师兄"
"2015届Burnaby小组共修（第二册）";"275";"温哥华小组共修";"30";"2016-07-04T01:38:24";"第二册共修 - 7/12 佛教的物种起源说 共1次课  - 7/19 佛教的世界观 共1次课 - 7/26 语加持的修法 共1次课 - 8/2 第四阶段复习 共1次课 - 8/9, 8/16 第二册总复习 共2次课"
"上师谈灌顶";"276";"上师谈灌顶";"103";"2016-07-07T14:48:23";"金刚上师与灌顶http://www.huidengzhiguang.com/c/2011-04-23/1321.shtml如何接受灌顶http://www.huidengzhiguang.com/c/2012-05-25/1213.shtml如何受四灌顶http://www.huidengzhiguang.com/c/2012-03-05/1200.shtml密乘十四条根本戒http://www.huidengzhiguang.com/c/2011-04-23/1323.shtml"
"2015届Burnaby小组共修（第二册）";"277";"2015温哥华Burnaby小组7月12日共修";"30";"2016-07-10T11:24:02";"7月12日共修 星期二晚上7点，YY房间号码是 64043086第二册第13课 《佛教的物种起源说》共一次课https://drive.google.com/open?id=0B0LPKwI4InkdLW9LR2c2THRlUnMhttps://1drv.ms/f/s!AhwG3kI_pdhUgx7sxMy5OoxSRP3n串讲： 白玛财仁(Anhua) 师兄"
"2015届Coquitlam小组共修（第二册）";"278";"2015届Coquitlam小组共修（第二册）";"104";"2016-07-12T00:26:47";"时间： [b]每周 星期五 19：30[/b] 地址： Close to [b]Delestre Ave and Blue Mountain St Coquitlam[/b]https://www.google.ca/maps/place/Blue+Mountain+St+%26+Delestre+Ave,+Coquitlam,+BC/@49.24169,-123.0130059,11z/data=!4m5!3m4!1s0x548678133bc1f01f:0x4cbb1e3c6dcf9b60!8m2!3d49.24169!4d-122.8729302"
"2015届Coquitlam小组共修（第二册）";"279";"温哥华慧灯禅修2015届Coquitlam小组7月8日共修";"104";"2016-07-12T00:32:17";"温哥华慧灯禅修2015届Coquitlam小组7月8日共修内容 ：禅修班第二册 梦幻世界第二部分主持:  吴敏师兄发心主持讨论"
"禅修班学修进度指导";"280";"禅修班学修进度指导";"105";"2016-07-12T00:55:28";"禅修班学修进度指导学习佛教的基础知识，主要内容为禅修班第一册和第二册教材。两册教材学习时间约一年，建议通过54次共修完成。各小组可以根据小组学员的实际情况合理调整共修次数。1. 教材第一册（三个阶段，共28次共修）http://www.huidengzhiguang.com/index.php/huideng-jiangtang/2016-07-21-09-15-04/2017-01-20-06-28-24/1711-2017-02-20-10-52-05（1）第一阶段【学修内容与进度】① 学修手册（1次）② 三个差别（2次）③ 三殊胜——行善修心的究竟方法（3次）④ 生存的方式和生存的意义（2次）⑤ 第一阶段复习（1次）【学修目标与提示】了解佛教与非佛教、世间法与出世间法、小乘与大乘的差别，掌握行善修心的究竟方法——三殊胜，区分生存的方式与意义，省思自己学修佛法的动机，培养初步的出离心和菩提心。（2）第二阶段【学修内容与进度】① 佛教徒的生活模式（2次）② 如何做一个标准居士（3次）③ 浅谈因果关系（2次）④ 佛法融入生活（3次）⑤ 第二阶段复习（1次）【学修目标与提示】逐渐将佛法智慧落实到生活工作之中，明确佛教徒的基本生活模式和作为一个标准居士的见解、修法和行为要求，省思自己佛法运用的效果，学会随时随处觉照和保持正念。（3）第三阶段【学修内容与进度】① 佛教的定义（2次）② 解脱的原理（1次）③ 对初学者的教诲（2次）④ 第三进度复习（1次）⑤ 第一册总复习（2次）【学修目标与提示】明晰佛法学修的目标、次第、方法、原理，明确作为初学者的学修立足点和着力点，逐渐将佛法正见转变成自己的认识和观念，并学会以此解决生活中的问题，培养学修的信心、意乐和精进心。2. 教材第二册（四个阶段，共26次共修）http://www.huidengzhiguang.com/index.php/huideng-jiangtang/2016-07-21-09-15-04/2017-01-20-06-28-24/1712-2017-02-20-10-53-47（1）第一阶段【学修内容与进度】① 学修手册（1次）② 金刚七句之上师瑜伽（1次）③ 为什么现代人越来越没有幸福感（1次） (無視頻)④ 如何面对痛苦和幸福（3次） (視頻為""如何面對痛苦"" 和 ""如何面對幸福"")⑤ 第一阶段复习（1次）【学修目标与提示】本阶段学修，以学修手册开始，既有理论又有实修，包括座上观修和座下行善，是佛法融入生活的深化。随着学修的深入，共修的重点要从“法义理解讨论”向“法义运用分享”过渡，并在讨论中培养随喜他人进步、反思自己不足的习惯。为了有效引导实修，第二册教材，提前学习《七句之上师瑜伽》。在加行之前，按照仪轨圆满心咒或《金刚七句祈祷文》十万遍。（2）第二阶段【学修内容与进度】① 戒杀放生的功德（1次） (視頻為""戒殺放生的意義"")② 素食的意义（1次）③ 关于放生（1次）(無視頻)④ 世界和平共处的诀窍：平等生存 (無視頻) 受戒行善的殊胜日 (無視頻) 第二阶段复习（合计1次）【学修目标与提示】集资净障是实修的重要前行和内容。同时，这一阶段的法义没有复杂的理论，重点在于从法义的整体脉络上体会学修的次第，并拓展我们的视野和心量，从“我自己”、“佛教徒”拓展到“地球生所有的生命”；再到“大千世界”乃至“六道一切众生”。（3）第三阶段【学修内容与进度】① 如何将病苦转为道用（1次）② 四谛—脱离生死的出路（2次） (視頻為""開示四諦"")③ 二谛—开启中观门扉之钥匙（2次） (音頻為""二諦"")④ 十二缘起支—生命轮回的次序（2次） (無視頻)⑤ 第三阶段复习（1次）【学修目标与提示】轮涅的原理，是整个佛法的纲要。本阶段学修，旨在增强学修的正见和信心。同时，每期法义秉承了一贯的“解决关键问题”、“理论与修法结合”的传统，围绕“必须学习的关键性问题”进行展开，最后落实到我们应当怎么样。（4）第四阶段【学修内容与进度】① 梦幻世界（1次） (視頻為佛教的世界觀)② 佛教的物种起源说（1次）(無視頻)③ 佛教的世界观（1次） (視頻為佛教的世界觀)④ 语加持的修法（1次） (視頻為語加持的修法)⑤ 第四阶段复习（1次）"
"2016届Burnaby小组共修（第一册）";"281";"温哥华慧灯禅修2016届Burnaby小组7月13日共修​";"101";"2016-07-12T01:05:47";"温哥华慧灯禅修2016届Burnaby小组7月13日共修​学习内容： 慧灯禅修学修手册 [attachment=74]HuiDengStudyGuide_151125.pdf[/attachment]串讲师兄： 待定"
"2015届Coquitlam小组共修（第二册）";"282";"温哥华慧灯禅修2015届Coquitlam小组7月15日共修";"104";"2016-07-14T10:49:45";"2016 年7月 15日 19：30  星期五内容 ：禅修班第二册 佛教的物种起源说"
"2016届Burnaby小组共修（第一册）";"283";"温哥华慧灯禅修2016届Burnaby小组7月20日共修​";"101";"2016-07-17T10:17:04";"温哥华慧灯禅修2016届Burnaby小组7月20日共修​星期三晚7:00点学习内容： 三殊胜(上) （共三节课）[b]有最新的上师视频，可以从百度网盘下载：http://pan.baidu.com/s/1geXeUNh[/b]主持串讲师兄： Bob"
"2015届Burnaby小组共修（第二册）";"284";"温哥华慧灯禅修2015届Burnaby小组7月19日共修";"30";"2016-07-17T10:30:35";"温哥华慧灯禅修2015届Burnaby小组7月19日共修星期二晚上7点，网络共修YY房间号码： 64043086共修内容：第二册第14课 《佛教的世界观》共一次课http://pan.baidu.com/s/1gfbOA2Z主持串讲师兄： Jessica"
"2015届Coquitlam小组共修（第二册）";"285";"温哥华慧灯禅修2015届Coquitlam小组7月22日共修";"104";"2016-07-17T10:39:13";"温哥华慧灯禅修2015届Coquitlam小组7月22日共修星期五晚上19:30共修内容：第二册第14课 《佛教的世界观》共一次课"
"2015届Burnaby小组共修（第二册）";"286";"温哥华慧灯禅修2015届Burnaby小组7月26日共修";"30";"2016-07-25T09:06:03";"温哥华慧灯禅修2015届Burnaby小组7月26日共修星期二晚上7点，网络共修YY房间号码： 64043086共修内容：第二册第15课 《语加持的修法》共一次课主持串讲师兄： 圆妙Amy"
"2016届Burnaby小组共修（第一册）";"287";"温哥华慧灯禅修2016届Burnaby小组7月27日共修​";"101";"2016-07-25T09:07:07";"温哥华慧灯禅修2016届Burnaby小组7月27日共修​星期三晚7:00点学习内容： 三殊胜(中) （共三节课）有最新的上师视频，可以从百度网盘下载：http://pan.baidu.com/s/1geXeUNh主持串讲师兄： Joyce"
"2015届Coquitlam小组共修（第二册）";"288";"温哥华慧灯禅修2015届Coquitlam小组7月29日共修​";"104";"2016-07-25T09:16:56";"温哥华慧灯禅修2015届Coquitlam小组7月29日共修星期五晚上19:30共修内容：第二册第14课 《佛教的世界观》第二次课"
"2015届Burnaby小组共修（第二册）";"289";"2015届Burnaby小组8月2日共修";"30";"2016-08-01T17:56:16";"温哥华慧灯禅修2015届Burnaby小组8月2日共修星期二晚上7点，网络共修YY房间号码： 64043086共修内容：第二册第四阶段复习① 梦幻世界（1次）② 佛教的物种起源说（1次）③ 佛教的世界观（1次）④ 语加持的修法（1次）主持串讲师兄： 圆慧Ava"
"2016届Burnaby小组共修（第一册）";"290";"2016届Burnaby小组8月3日共修​";"101";"2016-08-01T18:00:36";"温哥华慧灯禅修2016届Burnaby小组8月3日共修​星期三晚7:00点学习内容： 三殊胜(下) （第三节课共三节课）有最新的上师视频，可以从百度网盘下载：pan.baidu.com/s/1geXeUNh 主持串讲师兄： 行竹（微微一笑）"
"2015届Coquitlam小组共修（第二册）";"291";"2015届Coquitlam小组8月5日共修";"104";"2016-08-01T18:02:34";"温哥华慧灯禅修2015届Coquitlam小组8月5日共修星期五晚上19:30共修内容：第二册第15课 《语加持的修法》"
"2016届Burnaby小组共修（第一册）";"292";"2016届Burnaby小组8月10日共修";"101";"2016-08-08T09:21:40";"2016届Burnaby小组8月10日共修星期三晚7:00点学习内容： 生存的方式和生存的意义（第1节课共2节课）主持串讲师兄： 卓玛措姆"
"2015届Burnaby小组共修（第二册）";"293";"2015届Burnaby小组8月9日共修";"30";"2016-08-08T09:26:17";"2015届Burnaby小组8月9日共修星期二晚上7点，网络共修YY房间号码： 64043086共修内容：第二册第1次复习，共2次。复习第二册以下内容金刚七句之上师瑜伽为什么现代人越来越没有幸福感如何面对痛苦和幸福戒杀放生的功德素食的意义关于放生世界和平共处的诀窍：平等生存受戒行善的殊胜日主持串讲师兄： Lily Tang"
"2015届Coquitlam小组共修（第二册）";"294";"2015届Coquitlam小组8月12日共修";"104";"2016-08-09T19:37:14";"2015届Coquitlam小组8月12日共修星期五晚上19:30共修内容：第3册第1课 入座与出座"
"百字明";"295";"百字明";"106";"2016-08-14T20:12:37";"https://pan.baidu.com/s/1qYhD49u"
"金刚七句祈祷文";"296";"金刚七句祈祷文";"107";"2016-08-14T20:13:27";"https://pan.baidu.com/s/1i4AbOtJ"
"2016届Burnaby小组共修（第一册）";"297";"2016届Burnaby小组8月17日共修";"101";"2016-08-14T20:14:28";"2016届Burnaby小组8月17日共修星期三晚7:00点网络共修Zoom房间号码： [size=5]7789995278[/size]学习内容： 生存的方式和生存的意义（第2节课共2节课）主持串讲师兄： Tracy Z"
"2015届Burnaby小组共修（第二册）";"298";"2015届Burnaby小组8月16日共修";"30";"2016-08-14T20:18:49";"2015届Burnaby小组8月16日共修星期二晚上7点，网络共修YY房间号码： 64043086共修内容：第二册第2次复习，共2次。复习第二册以下内容如何将病苦转为道用四谛—脱离生死的出路二谛—开启中观门扉之钥匙十二缘起支—生命轮回的次序梦幻世界佛教的物种起源说佛教的世界观语加持的修法主持串讲师兄：Sherry"
"慧灯禅修班学修手册";"299";"慧灯禅修班学修手册";"108";"2016-08-14T20:52:35";"https://pan.baidu.com/s/1eRD5Nc2本手册尚属试行本，仅供小组内部共修使用，严禁对外传阅。文档保护密码请联系自己的慧灯小组组长。"
"2015届Burnaby小组共修（第二册）";"300";"2015届Burnaby小组8月23日共修";"30";"2016-08-19T22:14:38";"2015届Burnaby小组8月23日共修星期二晚上7点，网络共修YY房间号码： 64043086共修内容：复习上次课未完成的第二册以下内容佛教的物种起源说佛教的世界观语加持的修法学习慧灯禅修班学修手册：http://pan.baidu.com/s/1eRD5Nc2本手册尚属试行本，仅供小组内部共修使用，严禁对外传阅。文档保护密码请联系自己的慧灯小组组长。主持串讲师兄：Sherry"
"2016届Burnaby小组共修（第一册）";"301";"2016届Burnaby小组8月24日共修";"101";"2016-08-19T22:28:16";"2016届Burnaby小组8月24日共修星期三晚7:00点网络共修Zoom房间号码： 7789995278 学习内容： 为了有效引导实修，加入今年猴年希阿荣博上师发起的""莲师金刚七句百亿共修"" ([url=http://www.ptz.cc/plus/list.php?tid=233]http://www.ptz.cc/plus/list.php?tid=233[/url])，增上实修功德，提前学习第二册教材《七句之上师瑜伽》。在加行之前，按照仪轨圆满心咒或《金刚七句祈祷文》十万遍。第二册16课学修内容：（在目录'第二册' -> '16'下）https://pan.baidu.com/s/1slzmKsX上师念诵的莲师心咒、金刚七句祈祷文等：https://pan.baidu.com/s/1cj2rO6主持串讲师兄： Jing[img ]http://www.ptz.cc/uploads/160119/1-16011Z41022516.jpg[/img]"
"2015届Coquitlam小组共修（第二册）";"302";"2015届Coquitlam小组8月19日共修";"104";"2016-08-19T22:56:40";"2015届Coquitlam小组8月19日共修星期五晚上19:30共修内容：第2册答疑 第3册学习方法讨论"
"2015届Burnaby小组共修（第三册）";"303";"2015届Burnaby小组共修（第三册）";"109";"2016-08-28T19:43:55";"共修时间：温哥华时间每周二晚 7:00 - 10:00共修地点：close to 10th ave and 6th st, Burnaby, BC https://www.google.ca/maps/place/Burnaby,+BC/@49.2189534,-123.0676911,11z/data=!4m5!3m4!1s0x548677dcdd551865:0x294571569fab1f06!8m2!3d49.2189534!4d-122.9276154共修YY房间号码是  64043086学习资料：http://www.huidengzhiguang.com/c/2014-12-14/2981.shtml"
"2015届Burnaby小组共修（第三册）";"304";"2015届Burnaby小组8月30日共修";"109";"2016-08-28T19:47:15";"2015届Burnaby小组8月30日共修星期二晚上7点，网络共修YY房间号码： 64043086共修内容：慧灯禅修课之一：介绍慧灯禅修学习资料：www.huidengzhiguang.com/c/2014-12-14/2981.shtml主持串讲师兄：Jessica"
"2016届Burnaby小组共修（第一册）";"305";"2016届Burnaby小组8月31日共修";"101";"2016-08-28T19:56:35";"2016届Burnaby小组8月31日共修星期三晚7:00点网络共修Zoom房间号码： 7789995278学习内容：第一册第一阶段复习- 三个差别- 三殊胜——行善修心的究竟方法- 生存的方式和生存的意义主持串讲师兄： Jack"
"第三册课前/课后念诵";"306";"第三册课前/课后念诵";"110";"2016-08-28T21:15:27";"课前念诵内容：加倍咒（三遍）、皈依发心（三遍）、四无量心加倍咒（三遍）嗡桑巴RA桑巴RA 波玛纳萨RA 玛哈臧巴巴吽啪德娑哈皈依发心（三遍）诸佛正法贤圣三宝尊从今直至菩提永皈依我以所修施等诸资粮为利有情故愿大觉成四无量心(一遍)愿诸众生永具安乐及安乐因愿诸众生永离众苦及众苦因愿诸众生永具无苦之乐 我心喜悦愿诸众生远离贪嗔之心 住平等舍===============================================================课后回向内容：回向偈、普贤行愿品八句回向偈、发愿文、成就所愿誓言、成就所愿咒、莲师心咒（三遍）回向偈此福愿获遍知果摧毁一切过患敌救度众生皆摆脱生老病死三有海普贤行愿品八句回向偈文殊师利勇猛智普贤慧行亦复然我今回向诸善根随彼一切常修学三世诸佛所称叹如是最胜诸大愿我今回向诸善根为得普贤殊胜行发愿文生生世世不离师恒时享用胜法乐圆满地道功德已唯愿速得金刚持成就所愿誓言以佛所获三身之加持法性不变真谛之加持僧众不退意乐之加持如是回向发愿悉成就成就所愿咒达雅塔 班赞哲雅阿哇波达呢娑哈莲师心咒（三遍）嗡阿吽班匝儿格热巴玛色德吽音频链接：http://pan.baidu.com/s/1jI4lkkI"
"2015届Coquitlam小组共修（第三册）";"307";"2015届Coquitlam小组共修（第三册）";"111";"2016-08-29T20:43:36";"时间： [b]每周 星期五 19：30[/b] 地址： Close to [b]Delestre Ave and Blue Mountain St Coquitlam[/b]https://www.google.ca/maps/place/Blue+Mountain+St+%26+Delestre+Ave,+Coquitlam,+BC/@49.24169,-123.0130059,11z/data=!4m5!3m4!1s0x548678133bc1f01f:0x4cbb1e3c6dcf9b60!8m2!3d49.24169!4d-122.872"
"2015届Coquitlam小组共修（第三册）";"308";"2015届Coquitlam小组8月26日共修";"111";"2016-08-29T20:45:30";"2015届Coquitlam小组8月26日共修内容 ：入座与出座"
"2015届Coquitlam小组共修（第三册）";"309";"2015届Coquitlam小组9月2日共修";"111";"2016-08-29T20:46:27";"2015届Coquitlam小组9月2日共修内容 ：人身难得第一次课"
